KCMO or Not,Census Tract,East-West Coordinate,North-South Coordinate,1940 Population,1950 Population,1960 Population,1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,1940 Housing Units,1950 Housing Units,1960 Housing Units,1970 Housing Units,1980 Housing Units,1990 Housing Units,2000 Housing Units,2010 Housing Units,1970 Occupied Housing Units,1980 Occupied Housing Units,1990 Occupied Housing Units,2000 Occupied Housing Units,2010 Occupied Housing Units,1970 Vacant Housing Units,1980 Vacant Housing Units,1990 Vacant Housing Units,2000 Vacant Housing Units,2010 Vacant Housing Units,1970 Households,1980 Households,1990 Households,2000 Households,2010 Households,1970 Group Quarters Population,1980 Group Quarters Population,1990 Group Quarters Population,2000 Group Quarters Population,2010 Group Quarters Population
Not,128.02,2801999,1022552,484,729,1710,2618,3339,3396,3310,3379,148,236,485,768,1255,1401,1415,1512,745,1213,1354,1379,1399,23,42,47,36,113,745,1213,1354,1379,1399,0,0,12,13,6
Not,128.03,2795865,1028237,516,778,1824,2566,2210,2134,2125,2086,179,286,590,890,943,1034,1045,1039,880,929,997,1008,929,10,14,37,37,110,880,929,997,1008,929,3,0,0,0,0
Not,128.04,2793874,1021785,1519,2287,5364,7549,6503,6279,6252,6098,442,705,1451,2191,2321,2544,2571,2544,2167,2287,2454,2481,2367,24,34,90,90,177,2167,2287,2454,2481,2367,8,0,0,1,0
Not,129.03,2790513,1019270,24,36,86,0,134,75,58,43,7,12,25,0,55,52,26,25,0,54,48,25,23,0,1,4,1,2,0,54,48,25,23,0,0,0,0,0
Not,129.04,2795312,1019047,20,31,72,0,113,110,114,113,6,10,22,0,47,52,46,55,0,46,46,45,50,0,1,6,1,5,0,46,46,45,50,0,0,0,0,0
Not,133.01,2778891,991935,1221,1840,4314,5015,4404,4171,4284,4031,373,595,1371,1683,1797,1863,2009,2052,1635,1724,1760,1906,1842,48,73,103,103,210,1635,1724,1760,1906,1842,45,45,68,80,0
Not,133.07,2786853,996302,35,53,124,1063,2783,2721,2870,2704,11,18,42,324,1094,1196,1193,1207,315,1013,1038,1147,1094,9,80,158,46,113,315,1013,1038,1147,1094,0,0,39,61,0
Not,133.09,2786674,992970,63,94,221,1898,4968,4858,5124,4827,19,30,68,532,1794,1962,1958,1980,516,1663,1704,1882,1801,16,132,258,76,179,516,1663,1704,1882,1801,0,0,71,109,102
Not,133.13,2786410,987589,387,583,1368,4431,5168,5130,4940,4830,118,189,435,1308,1680,1883,1951,2017,1271,1617,1776,1813,1772,37,63,107,138,245,1271,1617,1776,1813,1772,35,42,48,7,19
Not,134.01,2775864,990782,231,348,815,1389,3033,3279,2915,2542,70,112,250,465,1450,1540,1350,1363,436,1268,1378,1203,928,29,182,162,147,435,436,1268,1378,1203,928,0,0,10,21,18
Not,134.1,2785761,976985,342,515,1207,2271,2572,3025,2946,3438,112,178,396,753,1052,1259,1254,1629,697,966,1088,1168,1431,56,86,171,86,198,697,966,1088,1168,1431,0,0,103,0,9
Not,134.16,2786070,982353,209,315,739,1389,1574,1850,1802,2103,56,90,200,380,531,635,633,822,352,488,549,590,772,28,43,86,43,50,352,488,549,590,772,0,0,63,0,0
Not,135.02,2838681,978487,133,201,456,763,1641,2191,4274,5584,41,65,153,237,551,773,1528,1970,229,521,738,1471,1898,8,30,35,57,72,229,521,738,1471,1898,0,11,5,0,9
Not,135.04,2814306,984737,40,61,137,230,494,660,1287,2886,13,21,49,76,178,249,478,1141,74,168,238,467,1088,3,10,11,11,53,74,168,238,467,1088,0,3,1,0,0
Not,136.06,2809594,1008034,55,83,190,334,702,833,1457,1429,12,19,45,77,298,327,517,548,76,276,288,485,535,2,22,40,32,13,76,276,288,485,535,6,39,67,98,0
Not,136.08,2810829,1002487,215,324,736,1297,2728,3235,5657,5550,71,113,266,455,1754,1928,3043,3227,446,1628,1693,2857,2676,9,127,235,186,551,446,1628,1693,2857,2676,24,150,260,381,276
Not,136.12,2807088,995843,72,108,246,434,913,1082,1893,6101,23,36,85,145,560,615,613,2062,142,519,540,579,2002,3,40,75,34,60,142,519,540,579,2002,8,50,87,0,0
Not,137.03,2824553,1000357,1228,1851,4206,5214,5266,5836,5381,5527,375,599,1410,1815,2343,2679,2515,2611,1760,2222,2461,2417,2440,55,121,218,98,171,1760,2222,2461,2417,2440,0,0,8,9,18
Not,137.04,2818849,993779,172,259,589,2140,3985,4133,5726,6003,53,84,198,620,1337,1499,2194,2558,601,1296,1442,2139,2361,19,41,57,55,197,601,1296,1442,2139,2361,0,0,136,147,139
Not,138.01,2831589,1004732,30,45,102,336,1729,4555,5849,5541,9,14,34,107,630,1599,2116,2182,102,559,1545,2065,2064,5,70,55,51,118,102,559,1545,2065,2064,0,0,0,0,0
Not,138.02,2829088,992216,37,55,126,417,2141,5640,7241,8421,11,18,42,133,779,1980,2591,3209,126,693,1912,2544,3105,7,87,67,47,104,126,693,1912,2544,3105,0,0,0,0,0
Not,139.01,2866189,991243,396,596,1355,1234,1773,3304,5975,6337,121,193,455,444,707,1271,2425,2985,404,635,1164,2230,2455,40,73,107,195,530,404,635,1164,2230,2455,0,0,0,0,0
Not,139.02,2880679,987647,49,73,166,152,218,406,734,1282,15,24,56,55,87,156,290,501,50,78,143,278,469,5,9,13,12,32,50,78,143,278,469,0,0,0,0,7
Not,139.04,2840286,997416,427,644,1462,1332,1914,3567,6450,6843,130,208,491,480,764,1372,2101,2332,436,685,1257,2057,2276,43,78,115,44,56,436,685,1257,2057,2276,0,0,0,0,0
Not,139.16,2837950,1006415,282,425,965,879,1262,2353,4254,5331,86,137,322,315,501,901,1453,1892,287,450,825,1425,1793,28,51,76,27,99,287,450,825,1425,1793,0,0,0,8,8
Not,140.02,2884203,1022576,124,187,426,588,971,1190,1746,1683,38,61,143,189,332,438,669,711,182,314,410,635,651,7,19,28,34,60,182,314,410,635,651,0,12,11,0,0
Not,140.04,2896939,1038835,154,233,528,721,1211,1492,2085,2871,51,81,190,248,445,588,821,1184,239,420,551,794,1092,9,25,38,28,92,239,420,551,794,1092,0,14,14,33,11
Not,140.05,2892149,1026663,281,424,963,1313,2206,2718,3800,5278,82,132,310,404,725,959,1339,1943,390,685,898,1293,1827,15,41,61,45,116,390,685,898,1293,1827,0,26,25,60,86
Not,140.06,2870328,1030302,196,295,671,926,1531,1876,2801,6096,57,91,215,284,500,658,1040,2233,273,472,616,990,2153,10,28,43,50,80,273,472,616,990,2153,0,19,18,0,13
Not,140.07,2871436,1039905,181,273,620,856,1415,1734,2589,5636,58,93,219,289,509,670,1059,2274,278,480,627,1009,2068,10,28,44,50,206,278,480,627,1009,2068,0,17,16,0,18
Not,141.01,2858734,1039205,385,580,1318,4748,5061,5982,6723,6783,117,188,442,1617,1940,2603,3017,3166,1536,1855,2415,2922,2887,81,84,188,95,279,1536,1855,2415,2922,2887,0,0,166,153,101
Not,141.05,2859922,1031836,128,194,436,721,5467,6957,7106,7828,40,63,146,273,1729,2202,2465,2850,261,1644,2140,2409,2708,12,85,62,56,142,261,1644,2140,2409,2708,0,2,1,0,0
Not,141.08,2847451,1039533,490,737,1676,1759,4282,5617,6150,6581,150,238,562,590,1503,2107,2472,2717,560,1407,1965,2367,2538,30,95,141,105,179,560,1407,1965,2367,2538,0,11,13,23,11
Not,141.11,2863469,1024204,20,32,69,117,969,1628,2051,2877,6,10,22,39,300,512,683,1071,37,285,487,674,1032,2,15,25,9,39,37,285,487,674,1032,0,0,0,0,9
Not,141.12,2863237,1016198,6,9,19,32,266,447,563,790,2,3,7,12,90,154,205,322,11,86,147,202,302,1,4,7,3,20,11,86,147,202,302,0,0,0,0,7
Not,141.14,2848143,1030181,79,120,270,456,3771,5638,6802,7219,24,38,91,177,1194,1891,2370,2790,169,1135,1826,2335,2638,8,59,66,35,152,169,1135,1826,2335,2638,0,0,3,0,0
Not,141.2,2847509,1019343,30,46,103,175,1448,2164,2611,2771,9,14,34,66,448,710,890,1048,63,426,686,877,1010,3,22,25,13,38,63,426,686,877,1010,0,0,1,0,7
Not,142.03,2824923,1035692,4,6,13,60,708,1358,1857,4080,1,2,4,22,242,504,760,1560,20,225,483,702,1507,2,17,21,58,53,20,225,483,702,1507,0,10,0,0,0
Not,142.04,2824864,1022689,13,20,46,216,2561,4914,6718,7961,4,6,15,78,877,1823,2562,3331,73,816,1749,2502,3090,5,61,74,60,241,73,816,1749,2502,3090,0,36,0,117,192
Not,143,2818226,1015227,85,128,291,121,115,32,71,36,26,41,97,72,66,16,22,16,66,61,16,21,12,6,5,0,1,4,66,61,16,21,12,0,12,0,31,13
Not,144,2814133,1012628,0,0,0,10,7,0,19,2,0,0,0,4,3,0,9,1,4,3,0,9,1,0,0,0,0,0,4,3,0,9,1,0,0,0,0,0
Not,145.01,2820397,1046083,54,82,186,1508,2353,3323,3793,3939,17,27,62,440,912,1449,1854,1980,434,886,1382,1789,1847,6,26,67,65,133,434,886,1382,1789,1847,0,0,0,8,0
Not,145.02,2828428,1042504,63,94,214,1734,2705,3819,4359,4524,19,30,72,505,1048,1666,1844,2173,499,1019,1589,1773,2061,6,29,77,71,112,499,1019,1589,1773,2061,0,0,0,116,103
Not,146.01,2816781,1051674,252,380,863,7521,6486,5729,5184,5108,77,123,289,2086,2277,2324,2246,2234,2050,2177,2282,2207,2140,36,100,42,39,94,2050,2177,2282,2207,2140,0,0,0,0,0
Not,146.03,2822176,1051535,70,105,238,1979,3034,3521,3562,3656,21,34,80,545,1035,1559,1397,1483,535,1003,1463,1366,1447,9,32,96,31,36,535,1003,1463,1366,1447,0,0,0,0,0
Not,146.04,2823685,1053541,95,143,326,2716,4163,4830,4887,4737,29,46,109,747,1419,2140,2540,2601,735,1376,2008,2391,2350,13,43,132,149,251,735,1376,2008,2391,2350,0,0,0,2,0
Not,147.01,2830479,1050625,99,149,339,606,1157,1594,2028,3709,30,48,114,167,363,582,866,1798,166,357,565,803,1653,1,7,16,63,145,166,357,565,803,1653,0,29,37,0,198
Not,147.02,2834310,1061276,244,368,835,1490,2848,3922,4991,5042,75,119,280,411,895,1431,1816,2018,409,878,1392,1784,1948,2,16,40,32,70,409,878,1392,1784,1948,0,70,92,148,83
Not,148.04,2842516,1057010,118,178,404,227,560,714,1798,2665,36,58,135,94,184,270,612,993,92,166,243,582,954,2,18,27,30,39,92,166,243,582,954,0,0,0,0,0
Not,148.06,2852346,1047096,36,54,122,552,735,3214,3934,4293,11,17,41,157,258,1064,1405,1702,153,227,1012,1375,1621,4,31,52,30,81,153,227,1012,1375,1621,0,0,0,2,11
Not,149.02,2873031,1078142,102,154,350,330,891,1236,1643,2039,31,50,117,100,308,440,649,822,97,289,419,619,755,3,19,21,30,67,97,289,419,619,755,1,0,9,0,0
Not,149.03,2876052,1059929,167,265,635,598,1661,2315,3112,4626,32,67,195,163,557,806,1139,1718,158,521,766,1104,1618,0,9,13,35,100,158,521,766,1104,1618,0,0,0,0,0
Not,149.04,2855273,1049143,403,606,1378,1300,3513,4872,6475,6253,123,196,462,394,1215,1732,2402,2402,384,1140,1650,2326,2293,10,74,82,76,109,384,1140,1650,2326,2293,3,0,35,0,5
Not,149.05,2863572,1045711,228,330,717,662,1796,2494,3677,4844,88,125,258,218,639,903,1162,1679,213,601,861,1146,1633,9,64,68,16,46,213,601,861,1146,1633,3,-1,34,86,81
Not,150,2868102,1098042,535,806,1831,3141,3293,3548,3676,3741,163,261,614,1024,1128,1239,1356,1495,988,1065,1178,1308,1371,36,63,61,48,124,988,1065,1178,1308,1371,15,8,0,0,51
Not,151,2825022,1090818,198,298,677,4578,4864,5268,5179,5669,60,96,227,800,1447,1686,1802,2084,771,1412,1644,1769,1966,29,35,42,33,118,771,1412,1644,1769,1966,16,11,29,41,56
Not,155,2797129,1073087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not,156,2796063,1066896,3734,4228,4252,3752,3478,2962,2654,2413,1127,1275,1399,1418,1703,1545,1437,1305,1326,1519,1330,1207,1009,92,184,215,230,296,1326,1519,1330,1207,1009,2,0,0,0,1
Not,176,2804712,1038672,43,65,153,190,176,163,17,2,13,21,44,61,68,65,7,2,60,66,65,6,2,1,2,0,1,0,60,66,65,6,2,0,0,0,0,0
Not,177,2849292,1071801,142,214,499,563,2759,3497,4217,5101,43,69,151,167,830,1087,1449,1834,158,806,1048,1380,1757,9,25,39,69,77,158,806,1048,1380,1757,0,45,51,70,39
Not,179,2821615,1008213,60,90,205,707,1120,2242,3867,4705,18,29,68,249,421,980,1589,2213,242,393,924,1536,2068,7,28,56,52,145,242,393,924,1536,2068,0,2,4,6,53
Not,180,2820366,1000529,755,1137,2584,3899,3440,3915,3714,3644,230,368,867,1230,1399,1704,1656,1667,1193,1356,1637,1598,1541,37,43,67,58,126,1193,1356,1637,1598,1541,0,8,12,0,20
Not,181,2809590,976284,90,135,308,514,1106,1477,2881,6462,26,42,100,155,360,505,967,2309,149,340,482,946,2205,5,20,23,21,104,149,340,482,946,2205,0,7,3,0,7
Not,182,2804916,987912,37,56,127,224,472,559,978,3153,11,17,40,69,265,291,290,976,67,246,256,274,958,1,19,35,16,18,67,246,256,274,958,4,26,45,0,0
Not,185,2832698,1026551,10,15,34,222,211,340,2286,3302,3,5,12,62,88,127,817,1240,56,73,120,791,1177,6,16,6,26,63,56,73,120,791,1177,0,0,0,8,0
Not,186,2831782,1009406,161,242,551,502,721,1343,2428,3043,49,79,186,182,290,521,840,1094,166,260,477,824,1036,16,30,44,16,58,166,260,477,824,1036,0,0,0,4,0
Not,193,2839163,1039790,447,673,1530,1618,3917,5141,5747,6394,137,218,513,542,1375,1929,2106,2558,515,1288,1799,2032,2420,28,88,129,74,138,515,1288,1799,2032,2420,0,10,12,1,0
Not,9883,2798220,991765,1,1,2,4,8,10,17,56,0,0,1,2,7,8,8,27,2,7,7,8,24,0,1,1,0,3,2,7,7,8,24,0,0,1,0,1
Not,9891,2839883,1022294,0,1,2,2,5,7,11,13,0,0,0,1,2,3,4,5,0,2,3,4,5,0,0,0,0,0,0,2,3,4,5,0,0,0,0,0
Not,9892,2847499,1050242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not,901,2932839,1070727,4763,4321,4322,4553,5118,5319,5594,5286,1398,1410,1505,1576,1976,2142,2298,2426,1458,1782,1907,2095,2026,118,194,235,203,400,1458,1782,1907,2095,2026,206,185,177,176,207
Not,902,2991151,1085250,5504,4993,4994,5261,5914,6146,5914,5829,1673,1687,1801,1886,2364,2563,2603,2606,1775,2181,2342,2360,2295,111,183,221,243,311,1775,2181,2342,2360,2295,420,377,361,180,166
Not,903,3046771,1105272,1456,1321,1321,1392,1565,1626,1529,1517,477,480,513,537,673,730,668,662,483,585,623,572,576,54,88,107,96,86,483,585,623,572,576,48,43,41,74,79
Not,904,3018889,1050064,6065,5503,5503,5797,6517,6773,6746,6794,1892,1907,2037,2132,2673,2898,2844,3138,2031,2506,2696,2604,2795,101,167,202,240,343,2031,2506,2696,2604,2795,135,121,116,292,135
Not,905,3018375,1016712,3219,2921,2921,3077,3459,3595,3743,3849,970,978,1044,1093,1371,1486,1561,1706,1037,1277,1373,1437,1533,56,94,113,124,173,1037,1277,1373,1437,1533,213,191,183,151,75
Not,906.01,2944985,1025538,4205,3814,3814,4019,4517,4695,5792,6233,1228,1237,1321,1383,1734,1879,2338,2626,1317,1625,1748,2193,2401,66,109,132,145,225,1317,1625,1748,2193,2401,43,39,37,39,62
Not,906.02,2912758,1018432,2613,2370,2370,2497,2807,2917,3599,3873,726,732,782,818,1026,1112,1384,1554,779,962,1034,1298,1396,39,64,78,86,158,779,962,1034,1298,1396,27,24,23,24,0
Not,300.02,2756556,1094743,970,1048,1634,1198,3270,3009,2921,2828,306,357,502,428,1501,1404,1381,1461,407,1348,1260,1211,1259,21,153,144,170,202,407,1348,1260,1211,1259,0,171,188,190,123
Not,301.01,2748890,1098017,543,587,915,2434,2328,2026,2912,2766,171,200,305,816,816,760,1095,1112,762,778,734,1062,1050,54,38,26,33,62,762,778,734,1062,1050,186,0,13,27,0
Not,301.03,2740719,1103707,620,670,1045,1621,1293,1320,2353,3145,196,228,348,346,393,434,780,1007,343,373,419,763,968,3,20,15,17,39,343,373,419,763,968,420,200,209,212,387
Not,302.07,2748122,1115615,695,751,1171,1510,1357,1339,1269,1132,219,256,365,475,524,572,638,556,465,516,553,587,516,10,8,19,51,40,465,516,553,587,516,0,0,0,0,0
Not,302.08,2732996,1116120,540,584,910,1346,2071,2396,2511,2432,170,199,283,387,676,851,955,992,357,653,828,932,947,30,23,23,23,45,357,653,828,932,947,0,5,12,7,8
Not,302.09,2737487,1111122,59,63,99,146,225,260,273,300,19,22,31,42,73,93,121,129,39,71,90,114,118,3,2,3,7,11,39,71,90,114,118,0,0,1,0,0
Not,303.05,2730105,1109909,978,1055,1646,2570,5892,6973,7774,8213,310,359,545,847,2090,2645,3127,3633,763,1930,2454,2999,3299,84,161,191,128,334,763,1930,2454,2999,3299,4,6,8,13,9
Not,303.06,2718712,1107204,257,277,433,676,1549,1834,2044,3476,82,95,143,223,550,695,665,1141,201,507,645,660,1108,22,42,50,5,33,201,507,645,660,1108,1,1,2,0,0
Not,303.07,2715290,1142950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not,303.08,2716573,1126335,1,1,2,13,10,36,19,14,0,0,1,7,3,10,6,5,6,3,10,6,4,1,0,0,0,1,6,3,10,6,4,0,0,0,0,0
Not,304.01,2695004,1142940,759,818,1276,1423,1885,1720,2618,5228,239,279,425,456,671,645,963,1905,437,629,612,929,1812,19,42,33,34,93,437,629,612,929,1812,0,0,0,5,9
Not,305,2709665,1163351,930,1005,1567,1805,2582,3410,4172,5953,293,343,522,679,1012,1438,1679,2717,620,941,1313,1587,2460,59,71,125,92,257,620,941,1313,1587,2460,23,18,148,185,159
Not,306,2733548,1185239,2166,2339,3648,3777,4859,5422,6944,6777,683,798,1215,1274,1954,2168,2753,2912,1192,1739,1979,2634,2683,82,215,189,119,229,1192,1739,1979,2634,2683,17,3,0,0,0
Not,307,2663297,1196584,2007,2168,3381,3134,3426,3513,3345,3382,633,739,1126,1152,1423,1488,1406,1545,1043,1279,1332,1314,1383,109,144,156,92,162,1043,1279,1332,1314,1383,44,26,0,17,0
Not,800,2903413,1178703,5288,4533,4576,5009,6084,6552,7209,7396,1472,1468,1515,1616,2052,2310,2711,2931,1495,1917,2208,2573,2706,121,135,102,138,225,1495,1917,2208,2573,2706,40,55,59,45,30
Not,801,2958588,1153897,3216,2757,2781,3045,3699,3355,3475,3450,1080,1075,1110,1184,1504,1433,1400,1467,1058,1362,1255,1247,1269,126,142,178,153,198,1058,1362,1255,1247,1269,0,0,0,123,81
Not,802,2937622,1133338,5277,4524,4564,4997,6070,6243,6649,6433,1882,1875,1936,2065,2622,2702,2883,3038,1873,2407,2507,2705,2667,192,215,195,178,371,1873,2407,2507,2705,2667,118,160,165,156,193
Not,803,2905415,1126000,4803,4118,4154,4548,5525,5821,6021,6215,1448,1442,1489,1588,2017,2166,2377,2548,1418,1826,2050,2218,2315,170,191,116,159,233,1418,1826,2050,2218,2315,0,0,0,0,7
