KCMO or Not,Census Tract,East-West Coordinate,North-South Coordinate,1940 Population,1950 Population,1960 Population,1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,1940 Housing Units,1950 Housing Units,1960 Housing Units,1970 Housing Units,1980 Housing Units,1990 Housing Units,2000 Housing Units,2010 Housing Units,1970 Occupied Housing Units,1980 Occupied Housing Units,1990 Occupied Housing Units,2000 Occupied Housing Units,2010 Occupied Housing Units,1970 Vacant Housing Units,1980 Vacant Housing Units,1990 Vacant Housing Units,2000 Vacant Housing Units,2010 Vacant Housing Units,1970 Households,1980 Households,1990 Households,2000 Households,2010 Households,1970 Group Quarters Population,1980 Group Quarters Population,1990 Group Quarters Population,2000 Group Quarters Population,2010 Group Quarters Population
Not,535.05,2705716,968202,6,12,28,54,132,239,1585,7489,2,4,10,16,43,81,583,2420,15,40,79,567,2291,1,3,2,16,129,15,40,79,567,2291,6,9,0,0,0
Not,535.06,2711766,986747,52,98,246,475,1154,3150,4238,3845,16,32,83,136,376,953,1329,1319,131,352,927,1317,1284,5,24,26,12,35,131,352,927,1317,1284,54,75,0,5,0
Not,535.07,2711747,981497,76,143,359,692,1682,4592,6179,5612,23,47,121,198,549,1390,1873,1873,191,514,1352,1857,1826,8,35,37,16,47,191,514,1352,1857,1826,79,110,0,3,0
Not,535.08,2703932,982083,132,250,626,1205,2930,4927,6400,5808,40,81,211,346,955,1451,2014,2011,332,894,1419,1995,1942,14,61,33,19,69,332,894,1419,1995,1942,138,192,5,0,0
Not,535.09,2703919,976279,112,211,528,1016,2471,4157,5402,6920,33,69,178,292,806,1224,1854,2469,280,754,1197,1739,2409,11,52,27,115,60,280,754,1197,1739,2409,116,162,4,9,0
Not,535.1,2711707,976241,33,61,153,295,718,1961,2638,5302,10,20,52,85,234,593,929,1741,81,219,577,888,1707,3,15,16,41,34,81,219,577,888,1707,34,47,0,0,0
Not,535.55,2699685,989105,154,290,727,1228,2596,2576,2101,1920,46,95,246,370,875,1063,1022,1005,352,816,985,971,890,18,59,78,51,115,352,816,985,971,890,91,127,82,106,34
Not,535.56,2703564,986510,102,192,480,907,2141,1886,2404,2645,30,63,162,262,700,816,994,1047,251,655,748,953,955,11,45,69,41,92,251,655,748,953,955,97,135,73,0,0
Not,535.57,2699426,985954,177,335,838,1327,2736,2539,2479,2192,53,110,283,409,925,1070,1096,952,388,862,987,1052,853,21,64,83,44,99,388,862,987,1052,853,99,135,87,0,0
Not,536.01,2695286,986560,197,370,929,1119,1577,1762,2778,2162,59,121,314,388,592,670,949,871,360,545,634,913,770,27,47,36,36,101,360,545,634,913,770,4,0,42,0,4
